message,user,date
"Never thought I'd hear this from this guy but here is some truth almost great comparison https://youtu.be/PLm-rrRsJXM?si=-og7O_ZOmDRhcuNU
""
",blvckrain48,"2023-12-07 12:24:12,353"
agree,lizanyasrosetoy,"2023-12-07 12:24:12,467"
lmfaooo a turkey tom,eni1ec,"2023-12-07 12:24:12,572"
"@blvckrain48, Please subscribe to post a link! [warning]",fossabot,"2023-12-07 12:24:12,655"
Clip,nateking12,"2023-12-07 12:24:13,162"
saying turkey tom is some american shit,stabdokak,"2023-12-07 12:24:13,681"
Clap,shadowliger92,"2023-12-07 12:24:13,709"
they dont care about palestinian,lionel_the_unicorn,"2023-12-07 12:24:15,122"
Not lie but you know turkey tom... but also tho,billysdojo,"2023-12-07 12:24:15,178"
!chadvice,the_dalek47,"2023-12-07 12:24:15,255"
can we stop repeating this same thing over and over and over and over and over and over and over,sathingtonw603,"2023-12-07 12:24:15,292"
"@the_dalek47 Want to be on CHADVICE where Hasan + special guests give you advice about life, relationships, etc. over Discord? Submit here: http://forms.gle/mFRkquukTiUkFupg7",fossabot,"2023-12-07 12:24:15,509"
"Fear& PODCAST - NEWEST EPISODE: The Return Of WillNeff, Cybertruck Death Trap & More | Fear&JurassicPark - https://youtu.be/TBcuQpXaY80 | POD LINKS: twitter.com/FearAndPod linktr.ee/fearand",fossabot,"2023-12-07 12:24:15,878"
@hasanabi wtf is Dracula flow,thewizardslizard,"2023-12-07 12:24:16,055"
"Twitch didn't notify me that you were live :(
""
",khakhunn,"2023-12-07 12:24:16,145"
Turkey Tom is a 17 year old slur enthusiast,pfcblueballs,"2023-12-07 12:24:16,226"
like 1:1 u nailed that persons bit without knowin em,enby_dee,"2023-12-07 12:24:16,854"
not good faith NOPERS,nayelispageti,"2023-12-07 12:24:17,628"
"He's just a turkey 🦃 that's it. Some dumb ass gobble gobble lookin ass Kappa
""
",timeswaste,"2023-12-07 12:24:17,729"
the sandwich from jimmy johns KEKW,judgeyrose,"2023-12-07 12:24:17,784"
nitpicking in an attempt to undermine to whole,n1naishere,"2023-12-07 12:24:18,605"
literally the same clips from willys dumb vid.,infam0uz07,"2023-12-07 12:24:18,743"
FUCKIN COWARD ZIONIST FUCKS,obscure_one_,"2023-12-07 12:24:19,254"
YEP they just farm engaement off u,platypus_dreaming,"2023-12-07 12:24:19,380"
@britknee420 dankHug LUBBERS,eevee_sprinkle,"2023-12-07 12:24:20,086"
turkey tom sounds like a jersey mikes order man who are these characters you bring up!,sunsetyellow,"2023-12-07 12:24:21,571"
YOUCANT ADDRESS THE TURKEY TOM ALLEGATIONS,superfast0jellyfish,"2023-12-07 12:24:21,601"
"yuubii__, elbySitti hello <3",tiamani,"2023-12-07 12:24:21,601"
"he makes decent docs but his takes on issues is still very ""I'm an unwashed edge lord""",catboy_rai,"2023-12-07 12:24:22,770"
I want a turkey sandwich now,spacecadetgalletas,"2023-12-07 12:24:23,228"
"He's an oy bruv so enough said
""
",darealwokebae,"2023-12-07 12:24:24,535"
engagement farmers,quikplayz,"2023-12-07 12:24:25,148"
Chatting,starlegend__,"2023-12-07 12:24:25,177"
"He's related to willy now show oh god
""
",mintandstrawberry,"2023-12-07 12:24:25,506"
that fucking loser will be unknown in six months,estragal,"2023-12-07 12:24:27,031"
Thought that was the Animal Crossing character,lovelele1,"2023-12-07 12:24:27,155"
@HasanAbi they still bring your catboy collector chatter drama KEKL,luscious_gandhi,"2023-12-07 12:24:27,181"
"tiamani, peepoKiss <3 hi cutie",yuubii__,"2023-12-07 12:24:27,253"
Short lived career too,ieatcerealboy,"2023-12-07 12:24:27,773"
Turkey Me?? hasD,tommyshots89,"2023-12-07 12:24:28,709"
BUSSIN,sillybilly01,"2023-12-07 12:24:29,577"
@hasanabi he just a white dude giving reasons why he wanna say the N-word,gamerupnorth,"2023-12-07 12:24:30,714"
"@yuubii__, soCute Looking hiii",toxicsjw,"2023-12-07 12:24:30,776"
"@hasanabi I'm a fan of you and he literally never shows proof I'm just curious if you e spoken on it
""
",gormorus,"2023-12-07 12:24:32,093"
@hasanabi a racist white boy that loves saying the hard R with that other freak that loves arguing they can say it,megarono,"2023-12-07 12:24:32,122"
kinda not a take at all,celestialbooboo,"2023-12-07 12:24:32,170"
"@yuubii__, hasL you survived finals (barely, presumably)",beteljuice,"2023-12-07 12:24:32,170"
YEP he can't think of any good ideas for content so he has to look at clips of you,nateking12,"2023-12-07 12:24:32,170"
sounds pretty fair to me LOL,dahuman,"2023-12-07 12:24:32,170"
how can you not have an opinion like grow up?,imupsetandthatsokay,"2023-12-07 12:24:32,245"
"NOPERS don't engage
""
",doodlebirb,"2023-12-07 12:24:32,625"
"No Donny, these men are cowards",ohbags,"2023-12-07 12:24:32,797"
!chadvice,hashishesh,"2023-12-07 12:24:33,547"
"@HasanAbi they make fun of the ""reductive argument"" america bad but keep doing the same hasan bad arguments from 3 years ago",dmhernandez,"2023-12-07 12:24:33,853"
